 u 0 - p 1.0666666666666667  ::    16.0  /  15  ::::  6157 40 338 6829 5161 1199 3365 3381 7597 1559 1579 1580 1584 1615 5722 1626
 u 1 - p 0.0  ::    0.0  /  15  :::: 
 u 2 - p 1.8666666666666667  ::    28.0  /  15  ::::  164 218 266 746 784 1395 1418 1464 1469 1922 2018 2292 2985 3129 3185 3550 3707 3908 4070 4102 4148 4202 4420 4442 4606 5212 5774 5855
 u 3 - p 1.3333333333333333  ::    20.0  /  15  ::::  540 2709 678 2833 6943 2962 7080 5161 3123 3440 3561 1565 3616 1580 1631 5882 5943 1853 8013 6053
 u 4 - p 0.13333333333333333  ::    2.0  /  15  ::::  1544 5886
 u 5 - p 1.8  ::    27.0  /  15  ::::  60 4163 6227 6264 128 130 6304 229 2628 772 2825 984 1078 1081 1212 5376 1292 1293 1311 1313 5472 5501 5504 1543 1559 1611 1632
 u 6 - p 0.5333333333333333  ::    8.0  /  15  ::::  6359 365 455 7020 1798 1816 3897 1855
 u 7 - p 2.6666666666666665  ::    40.0  /  15  ::::  17 86 218 349 369 413 593 881 936 1117 1350 1481 1750 2472 2675 3221 3472 3612 3707 3766 3807 3850 3883 3908 4134 4151 4323 4606 5034 5126 5697 5708 6061 6240 6347 6501 7545 7718 8026 8033
 u 8 - p 0.2  ::    3.0  /  15  ::::  2132 2365 7970
 u 9 - p 0.2  ::    3.0  /  15  ::::  6266 208 5295
 u 10 - p 2.6666666666666665  ::    40.0  /  15  ::::  6152 6209 2130 4332 4360 4376 6519 4470 4512 6587 6649 3361 6717 4805 6922 4911 6996 4980 7034 7060 5025 7075 5030 5045 5081 5161 7259 5246 5248 1240 1312 5463 5485 1496 7647 7684 1748 7904 5955 8009
 u 11 - p 0.26666666666666666  ::    4.0  /  15  ::::  4271 5487 3798 3900
 u 12 - p 0.4  ::    6.0  /  15  ::::  677 922 7188 1629 1669 2015
 u 13 - p 0.4666666666666667  ::    7.0  /  15  ::::  6304 4374 7058 5252 5486 3489 3616
 u 14 - p 0.3333333333333333  ::    5.0  /  15  ::::  6359 1081 5251 5487 3839
 u 15 - p 0.6666666666666666  ::    10.0  /  15  ::::  2183 2495 587 6854 5131 5293 3440 3804 5877 3930
 u 16 - p 1.1333333333333333  ::    17.0  /  15  ::::  189 2408 4592 2612 2705 4774 2790 4841 2872 4945 3023 3175 3313 1417 3523 3914 3981
 u 17 - p 1.4666666666666666  ::    22.0  /  15  ::::  2 14 28 131 1103 1488 1632 1803 2274 2323 2596 3139 4817 5814 5900 5913 6141 6235 6335 6336 6701 7365
 u 18 - p 0.6  ::    9.0  /  15  ::::  41 2657 2661 6819 698 6900 5107 3601 5674
 u 19 - p 0.06666666666666667  ::    1.0  /  15  ::::  2658
 u 20 - p 1.0  ::    15.0  /  15  ::::  68 189 2331 2408 2462 4529 525 4684 3175 1418 3523 3661 3765 5846 3882
 u 21 - p 2.0  ::    30.0  /  15  ::::  3 27 50 4207 118 6383 483 4693 6813 708 2962 3155 5251 3309 5386 1303 1319 1357 1489 1551 1546 1557 1566 1584 1640 1642 1666 3854 6008 1940
 u 22 - p 1.6666666666666667  ::    25.0  /  15  ::::  6233 2146 107 4471 420 495 2710 767 7002 7050 7058 2997 7133 1021 3155 1303 3480 1636 1658 1662 1667 3909 6104 6112 4062
 u 23 - p 0.13333333333333333  ::    2.0  /  15  ::::  5295 7990
 u 24 - p 0.2  ::    3.0  /  15  ::::  6733 7334 7080
 u 25 - p 1.2666666666666666  ::    19.0  /  15  ::::  2110 2131 2221 189 556 4702 2757 4908 2893 4942 3025 5338 1418 3661 3746 1862 3914 3981 1980
